,name,category,sub-category,provider,overall,enrolled,about,subtitles,skills,url,topic
278,Bioinformatics: Introduction and Methods 040001040908010703030104020207: 020404è0302010004030201030601,Health Informatics,Health,Peking University,4.7,12957," 7,368 A big welcome to 090008Bioinformatics: Introduction and Methods090009 from Peking University! In this MOOC you will become familiar with the concepts and computational methods in the exciting interdisciplinary field of bioinformatics and their applications in biology, the knowledge and skills in bioinformatics you acquired will help you in your future study and research.

Course materials are available under the CC BY-NC-SA License.",English,unknown,https://www.coursera.org/learn/bioinformatics-pku,Health
279,Introduction to Neurohacking In R,Health Informatics,Data Science,Johns Hopkins University,4.6,12797," 7,118 Neurohacking describes how to use the R programming language (https://cran.r-project.org/) and its associated package to perform manipulation, processing, and analysis of neuroimaging data. We focus on publicly-available structural magnetic resonance imaging (MRI). We discuss concepts such as inhomogeneity correction, image registration, and image visualization.

By the end of this course, you will be able to:

Read/write images of the brain in the NIfTI (Neuroimaging Informatics Technology Initiative) format
Visualize and explore these images
Perform inhomogeneity correction, brain extraction, and image registration (within a subject and to a template).",English, Image Processing Brain R Programming Neurology,https://www.coursera.org/learn/neurohacking,Health
280,Command Line Tools for Genomic Data Science,Health Informatics,Data Science,Johns Hopkins University,4.2,12688," 17,021 Introduces to the commands that you need to manage and analyze directories, files, and large sets of genomic data. This is the fourth course in the Genomic Big Data Science Specialization from Johns Hopkins University.",English, Bioinformatics Samtools Unix Command-Line Interface,https://www.coursera.org/learn/genomic-tools,Health
281,Genome Sequencing (Bioinformatics II),Health Informatics,Health,University of California San Diego,4.7,11855," 12,074 You may have heard a lot about genome sequencing and its potential to usher in an era of personalized medicine, but what does it mean to sequence a genome?

Biologists still cannot read the nucleotides of an entire genome as you would read a book from beginning to end. However, they can read short pieces of DNA. In this course, we will see how graph theory can be used to assemble genomes from these short pieces. We will further learn about brute force algorithms and apply them to sequencing mini-proteins called antibiotics. 

In the first half of the course, we will see that biologists cannot read the 3 billion nucleotides of a human genome as you would read a book from beginning to end.  However, they can read shorter fragments of DNA. In this course, we will see how graph theory can be used to assemble genomes from these short pieces in what amounts to the largest jigsaw puzzle ever put together.

In the second half of the course, we will discuss antibiotics, a topic of great relevance as antimicrobial-resistant bacteria like MRSA are on the rise.  You know antibiotics as drugs, but on the molecular level they are short mini-proteins that have been engineered by bacteria to kill their enemies.  Determining the sequence of amino acids making up one of these antibiotics is an important research problem, and one that is similar to that of sequencing a genome by assembling tiny fragments of DNA.  We will see how brute force algorithms that try every possible solution are able to identify naturally occurring antibiotics so that they can be synthesized in a lab.

Finally, you will learn how to apply popular bioinformatics software tools to sequence the genome of a deadly Staphylococcus bacterium that has acquired antibiotics resistance.","English, Chinese (Simplified)", Algorithms Python Programming Whole Genome Sequencing Dynamic Programming,https://www.coursera.org/learn/genome-sequencing,Health
282,Network Analysis in Systems Biology,Health Informatics,Health,Icahn School of Medicine at Mount Sinai,4.5,11772," 7,233 An introduction to data integration and statistical methods used in contemporary Systems Biology, Bioinformatics and Systems Pharmacology research. The course covers methods to process raw data from genome-wide mRNA expression studies (microarrays and RNA-seq) including data normalization, differential expression, clustering, enrichment analysis and network construction. The course contains practical tutorials for using tools and setting up pipelines, but it also covers the mathematics behind the methods applied within the tools. The course is mostly appropriate for beginning graduate students and advanced undergraduates majoring in fields such as biology, math, physics, chemistry, computer science, biomedical and electrical engineering. The course should be useful for researchers who encounter large datasets in their own research. The course presents software tools developed by the Ma090005ayan Laboratory (http://labs.icahn.mssm.edu/maayanlab/) from the Icahn School of Medicine at Mount Sinai, but also other freely available data analysis and visualization tools. The ultimate aim of the course is to enable participants to utilize the methods presented in this course for analyzing their own data for their own projects. For those participants that do not work in the field, the course introduces the current research challenges faced in the field of computational systems biology.",English,unknown,https://www.coursera.org/learn/network-biology,Health
283,Dynamical Modeling Methods for Systems Biology,Health Informatics,Health,Icahn School of Medicine at Mount Sinai,4.7,10418," 5,639 An introduction to dynamical modeling techniques used in contemporary Systems Biology research.

We take a case-based approach to teach contemporary mathematical modeling
techniques. The course is appropriate for advanced undergraduates and beginning graduate students. Lectures provide biological background and describe the development of both classical mathematical models and more recent representations of biological processes. The course will be useful for students who plan to use experimental techniques as their approach in the laboratory and employ computational modeling as a tool to draw deeper understanding of experiments. The course should also be valuable as an introductory overview for students planning to conduct original research in modeling biological systems.

This course focuses on dynamical modeling techniques used in Systems Biology research.  These techniques are based on biological mechanisms, and simulations with these models generate predictions that can subsequently be tested experimentally. These testable predictions frequently provide novel insight into biological processes. The approaches taught here can be grouped into the following categories: 1) ordinary differential equation-based models, 2) partial differential equation-based models, and 3) stochastic models.",English,unknown,https://www.coursera.org/learn/dynamical-modeling,Health
284,Bioconductor for Genomic Data Science,Health Informatics,Data Science,Johns Hopkins University,4.0,10311," 10,887 Learn to use tools from the Bioconductor project to perform analysis of genomic data. This is the fifth course in the Genomic Big Data Specialization from Johns Hopkins University.",English, Bioinformatics Bioconductor Genomics R Programming,https://www.coursera.org/learn/bioconductor,Health
285,020203020207040301è0303020207010004SPSSè0504010309070408020102040300040407070409,Health Informatics,Health,Peking University,4.7,8683," 5,004 030801è040604¨01é00020400¨01020402020302020702060401000901000604060402020704000101030602050002020304020302030004000102·06010508è0005000002 è040604¨01020205030101020102040300040301è0303020207030201030601020500SPSSè05040103090202000400¨070406040309è0302000001040301è0303030505è07°000001t030500é090200000103020102·03020806030006000001020303030201030500é090200000104070704020702070002050801000404070002050600000104§08020802030500é0902000002é0006è0707030801è040604¨01040604020207010102070402020207040001è0305030402030503020203020207040301è0303020207040604020102030801030201030601020500SPSSè05040103090406040202000400¨030000è0305070402020101020503040301è0303030009040307è03050200070704020201090208¨02020302020704§0704020002·06010508010002è03050401080307030208°0000010302050403030208°è07060400¨040301è0303020207000002",Chinese (Simplified) Subtitles: Chinese (Simplified),unknown,https://www.coursera.org/learn/spss-ruanjian,Health
286,Innovaci0106n agroalimentaria,Nutrition,Social Sciences,Universidad Nacional Aut0106noma de M0108xico,4.6,13755," 13,653 Este curso fue desarrollado por el Instituto Interamericano de Cooperaci0106n para la Agricultura (IICA) en colaboraci0106n con la Universidad Nacional Aut0106noma de M0108xico (UNAM)  con el prop0106sito de introducir el tema de Innovaci0106n y su importancia en el sector Agroalimentario. En un mundo donde la globalizaci0106n de los mercados es imperante y el cambio clim0103tico afecta las pr0103cticas agr0102colas, la competitividad sin innovaci0106n no es procedente. Por ello, durante el curso se analiza y reconoce 
la innovaci0106n como un agente que promueve la competitividad.  

Para lograrlo, este curso revisa los fundamentos de la innovaci0106n, tambi0108n, abarca otros temas como propiedad intelectual, componentes para la gesti0106n de la innovaci0106n, sistemas nacionales de  innovaci0106n agroalimentaria y nuevos h0103bitos alimenticios que abren paso a la innovaci0106n de nuevos productos. Este curso es una oportunidad para que los peque01±os y medianos empresarios, vinculados al sector agroalimentario, o ajenos a este sector, cuenten con herramientas que les faciliten el desarrollo de nuevos productos de calidad que incrementen su competitividad en el mercado.

Te invitamos a unirte a este curso y continuar por el camino de la innovaci0106n.",Spanish Subtitles: Spanish,unknown,https://www.coursera.org/learn/innovacion-agro,Health
287,Agricultura urbana y periurbana,Nutrition,Health,Universidad Nacional Aut0106noma de M0108xico,4.6,12961," 22,895 Este curso explica un conjunto de conceptos y herramientas b0103sicas y necesarias para la producci0106n de alimentos agr0102colas y pecuarios en peque01±os espacios haciendo 0108nfasis en la sustentabilidad de los mismos. Revisando temas como plagas y enfermedades, promueve el rescate de conocimientos tradicionales que, con bajo costo, permiten grandes beneficios encaminados a la seguridad alimentaria y crecimiento de huertas familiares. 
La Agricultura Urbana y periurbana no es resultado de una moda sino de una posible soluci0106n a los problemas de inseguridad alimentaria que muchos pa0102ses enfrentan, por lo que hay conceptos, teor0102as y metodolog0102as que explican su existencia y orientan su pr0103ctica. Apropiarse de dichas nociones aunado a una implementaci0106n adecuada permite obtener los resultados esperados que impacten la seguridad alimentaria, la salud, el trabajo y los ingresos econ0106micos de las familias que decidan efectuarla.

Este curso fue desarrollado por la Universidad Nacional Aut0106noma de M0108xico en colaboraci0106n con  el Instituto Interamericano de Cooperaci0106n para la Agricultura",Spanish Subtitles: Spanish,unknown,https://www.coursera.org/learn/agricultura-urbana,Health
288,The Meat We Eat,Nutrition,Physical Science and Engineering,University of Florida,4.7,7173," 4,282 The Meat We Eat is a course designed to create a more informed consumer about the quality, safety, healthfulness and sustainability of muscle foods and address current issues in animal agriculture in developed and developing countries.",English,unknown,https://www.coursera.org/learn/meat-we-eat,Health
289,040309030004040001040908020202020207070408Structural Biochemistry),Nutrition,Health,Nanjing University,4.9,6674," 4,335 04000104090802020202020703040402050901030004000102070504§07020207é040602010101000202050702±01030800010002è0705é0001000001030909020500é090403080002010704060402010204030002020704§070101010100000704020205090409000408040402010208¨0102040105070400¨02020202020700000104090804060602020702080204000104090802020704020903020103060102040304020004080902060404±03040001040908020806020206040604040309030004010004020001è03050704020208¨02080602020603°07020106010000é0406030404040001020705040604030801è07¨000001020401040606020802è§04020601000002020702010300070402040001040908020202020207040604040606è0302020802020300é090203000003080402·05030003é00050208°04000102070504§07020207040604030201030201é0904é090407040202030304060402050702±010100000301030205080100000301030208°0200070200¨01020603010701000904000102070504§0702020704060402050702±01000002
040001040908020202020207020504020806010002040309030004040001040908020202020207000001010305è°04040001040908020202020207020802020806020206040001040908020207010009010009é03¨020806000002030801è040604¨01010002040101010000é03¨020806070402020306040309030004040001040908020202020207070402010306020604è07040104060304¨020702010305è°04040001040908020202020207020802020806020206040001040908020207è040604¨01000002
040309030004040001040908020202020207040604020605020301020504010306è0407030404040001040908020202020207030800020102040300040604é03¨020806070402030809010202030000è0705010000é03¨020806040604020605020301è0407030806030404090008é0905030001040001020202090009000002020509010003è070102060502030103040402060404§0304000104090802080602020607040803°¨020102é0500000001030200è01·é0500000001è0701040505è07¨000001030200é0500000001é050900000104040603°07020202020608040908000001è040204±030208020307000407020402090704090406040403090300040000010300§è07¨010004020001è030507040204090102080003040401000904±0304000104090802¤§020806020206090000090000è0701040505è07¨000001030200é0500020802é05090406040403090300040000010300§è07¨010004020001è0305000002
020207020302è0705010000é03¨02080607040202°0601040601000201050202020702060504000104090802020202020704060402050702¤020100¤010009é03¨020806070402020306010305è°04040001040908020202020207020802020806020206040001040908020207030909010001020906020300040604020102040300070402010101010002010502020207020605040306è0300040001040908020207000001é010301040202020704020902050901030204000102070504§07020207040700020506è040604¨01020807é0002030903010309000002

020508010703è040604¨01070406030503é0006040001040908020207020802030809030802020202020207

02¤§040205070408Syllabus)

040101010000040002  è0701040505è07¨040604040309030004010004020001è0305070408Chapter 1 Structure and Function of Proteins)
1.000203°¨020102é0500070408Amino acids070409
2.0002è0701040505è07¨03°¨020102é0500010004é0900è0701040505è07¨03°¨020102é0500070408Proteinogenic AA & non-protenogenic AA070409
3.000204020503°0703°¨020102é050001000401020503°0703°¨020102é0500070408Hydrophobic & Hydrophilic AAs070409
4.0002020705é080003°¨020102é0500010004é0900020705é080003°¨020102é0500070408Essential  & Non-essential AAs070409
5.000203°¨020102é0500040604è01±030207040408020605070408Abbreviations for 22 amino acids070409
6.000203°¨020102é0500040604040408020608020503020200070408AA Condensation reaction070409
7.000203°¨020102é05000406040309010300§070408Chirality of Amino Acids070409
8.000203°¨020102é05000406040100¤0300§è§05040703010004040209040008040201070408Acid & base dissociation of amino acids and pI070409
9.0002è0206010009é0503020503020200070408Reaction with Ninhydrin)
10.0002Sanger020503020200070408Reaction with DNFB070409
11.0002Edman020503020200070408Reaction with PITC070409
12.0002è0701040505è07¨070408Proteins070409
13.0002è0701040505è07¨0406040100000402§040309030004070408Primary Structure of Proteins070409
14.0002è0205é0003070408Peptide bonds070409
15.0002è0701040505è07¨0406040102020402§040309030004070408Secondary Structure of Proteins070409
16.000202±è0002030301070408The Alpha Helix070409
17.00020205030004020502070408The Beta-Pleated Sheet070409
18.00020205è0501è§08070408The Beta Turn070409
19.00020205040901è08·070408The Beta Bulge070409
20.0002è0701040505è07¨0406040100090402§040309030004070408Tertiary structure of Proteins070409
21.000204020503°07é0003070408Hydrophobic interactions070409
22.000203¨03010509070408Motif070409
23.0002040309030004020101070408Domain070409
24.0002è0701040505è07¨0406040207070402§040309030004070408Quaternary Structure of Proteins070409
25.0002è0701040505è07¨040604030004020502070408Protein folding070409
26.000202¤08040409030302030004020502è0701040505070408Natively Unfolded Proteins070409
27.0002Anfinsen020300é0902070408Anfinsen090005s Experiment070409
28.0002020806020206010407010605070408Molecular Chaperone070409
29.0002è0701040505è07¨010202040300020202040908020402030004é0509070408Protein disulfide isomerase070402PDI070409
30.0002è040403°¨é05°è0205é05°é0302020503020402030004é0509070408Peptidylprolyl cis-trans isomerase070402PPI070409
31.0002030800040305030408070408Prions070409
32.0002è0701040505è07¨040304070408Proteome070409
33.0002è0701040505è07¨040604020001è0305070408Functions of Proteins070409
34.0002020504è0102è0701040505070408Moonlighting Proteins070409
35.0002è0701040505è07¨040309030004010004020001è0305010101é0307040604020506040603070408Structure and function relationships of proteins070409
36.02±è§08è0701040505070408Alpha Keratin070409
37.0205è§08è0701040505070408Beta Keratin070409
38.è0309020401è0701040505070408Collagen070409
39.è0202040204è0701040505010004è0300040204è0701040505070408Myoglobin & Hemoglobin070409
40.030205020305020602030108020200070408Positive Cooperativity070409
41.03060402°00030108020200070408Bohr Effect070409
42.020800030004030108020200070408Allosteric effect070409
43.HbS
44.HbF""

040101010202040002  030200é0500040604040309030004010004020001è0305070408Chapter 2 Structure and Function of Nucleic Acids)
1.0404±020102070408Bases070409
2.010208020504020402030004070408Keto-enol tautomerism070409
3.030200è01·070408Nucleosides070409
4.030200è01·é0500070408Nucleotides070409
5.030200é0500070408Nucleic Acids070409
6.02¤0604§0302¤060302·040604RNA070408Versatile RNAs070409
7.030200é05000406040100000402§040309030004070408Primary Structure of Nucleic Acids070409
8.B-DNA
A-DNA
10.Z-DNA
11.02070204§03DNA040604é0900020000è§040406040102020402§040309030004070408Other forms of secondary structure of DNA070409
12.RNA0102020402§040309030004070408Secondary structure of RNA070409
13.DNA0100090402§040309030004070408Tertiary Structure of DNA070409
14.RNA0100090402§040309030004070408Tertiary Structure of RNA070409
15.030200040602030200é0500è070104050502¤03020608040908070408RNA-Protein Complex070409
16.03020002°05010509070408Nucleosome070409
17.RNA010002040102070408The RNA world hypothesis070409

040101010009040002  è0701040505è07¨020802030200é05000406040300§è07¨070408Chapter 3  Properties of Proteins and Nucleic Acids)
1.000204070002¤02020600030009070408UV absorption070409
2.000203050903·00070408Precipitation070409
3.00020100¤0300§è§05040703070408Acid & base dissociation and pI070409
4.00020205040300§070408Denaturation070409
5.000202¤030300§070408Renaturation070409
6.0002Tm
7.000203°07è§05070408Hydrolysis070409
8.0002è0701040505è07¨040604é0408è0905020503020200070408Protein coloring reaction)
9.0002040008030606070408Electrophoresis070409
10.000202±02030006070408Chromatography070409
11.0002é0005030006010004è09050303¤070408Dialysis and Ultrafiltration070409

040101020707040002  é0509040604040309030004010004020001è0305070408Chapter 4  Structure and Function of Enzymes)
1.0002é0509070408Enzymes070409
2. è0605020008020702020206070408Cofactors)
3.0002030200é0509070408Ribozymes070409
4.00020307030300§010002020703070408The Active Site070409
5.0002090008é0001010004é080602020509000903¨03020001070408Lock and key model070409
6.0002090008è04±02040402060702060809000903¨03020001070408The Induced Fit model070409
7.0002090008010009040201é050404090009000903¨03020001070408Three-point attachment model070409
8.0002é050904060402070502060302080202080604±03070408Enzyme Nomenclature070409
9.0002é05090200¨020007020207070408Enzyme kinetics070409
10.000204±0603°0503020104¨01070408The Mechaelis-Menten Equation070409
11.0002Kcat020802kcat/Km070408Kcat & kcat/Km070409
12.00020205020200080301°010508020706070408Double-reciprocal plot070409
13.0002é0509030007020809020902070408Enzyme Inhibitors070409
14.00020400000102090300§030007020809020902070408Competitive Inhibitor070409
15.0002é09000400000102090300§030007020809020902070408Non-competitive Inhibitor070409
16.00020205030400000102090300§030007020809020902070408Uncompetitive Inhibitor070409
17.00020201020207040409010204020300§030007020809020902070408Group Specific Reagent070409
18.000202020104090804±03010404040908070408Substrate Analogue070409
19.0002è07090309000300§030007020809020902070408Suicide Inhibitor070409
20.0002020800030004é0509070408Allosteric Enzymes070409
21.0002é050602050403¨03020001070408The Concerted Model070409
22.000202020502050403¨03020001070408The Sequential Model070409
23.0002è070703000303000104¨06020306020207è0407070408090008The transition-state stabilization090009 theory070409
24.0002030003010509é0509070408Abzymes070409
25.0002010007è0707010004020306020607030108020200070408Catalysis by proximity and orientation070409
26.0002020107010109é05000404±020201020202070408General Acid-base catalysis070409
27.0002é0905040008020201020202070408Electrostatic catalysis070409
28.0002é070702±00020201020202070408Metal catalysis070409
29.00020205±0103·020201020202070408Covalent catalysis070409
30.0002020201040908020504020504070408Substrate strain070409
31.0002è0701040505é0509070408Proteases070409
32.0002é05090307030300§040604è°03è0002070408Regulation of Enzyme Activities)
33.000202060202·06é0509070408Isozymes070409
34.0002020800030004è°03è0002070408Allosteric control070409
35.00020205±0103·010703é06°è°03è0002070408Regulation by covalent modification070409
36.000203°07è§05030700030703070408Proteolytic activation070409
37.0002è°03è0002è0701040505040604030700030703020802030007020809070408Stimulation and inhibition by control proteins070409
38.0002040307040001040702070408Vitamins070409

040101010200040002  04060204±03020802è040204±03040604040309030004010004020001è0305070408Chapter 5  Structure and Function of Carbohydrates and Lipids)
1.000204040603°07020202020608040908070408Carbohydrates070409
2.0002020301040602070408Monosaccharides070409
3.000202·03020607020402030004010509070408Epimers)
4.000202040202¤07010509070408Anomer070409
5.0002020403040602070408Oligosaccharides070409
6.000202¤06040602070408Polysaccharides070409
7.0002040602040400020202020608040908070408Glycoconjugates070409
8.0002è040204±03070408Lipids070409
9.0002è0402è0209é0500070408Fatty acids070409
10.0002è0402è0209070408Fats070409
11.0002020503020405è0402è0209070408Trans Fats070409
12.00020405·è0402070408Phospholipids070409
13.0002è0306020702é0607070408Cholesterol070409
14.0002è040202050202±02070408Lipid Bilayers070409

040101020502040002  030700040702040604040309030004010004020001è0305070408Chapter 6  Structure and Function of Hormones)
1.0002030700040702070408Hormones070409
2.000203000602°04020503040200030801020306070408Radioimmnoessay)
3.0002020503010509070408Receptors070409
4.0002040101010202010703010507070408Second messengers070409
5.0002Gè0701040505070408G-proteins070409
6.0002è0701040505è07¨030700é0509070408Protein kinases070409
7.0002é0006è0707è03000206050205030105090406040307000407020105080400¨030802020809070408Mechanism of  Hormone action by intracellular receptors070409
8.0002PKA040603040301070408The PKA system070409
9.0002PKC040603040301070408The PKC system070409
10.0002PKG040603040301070408The PKG system070409
11.0002NO040603040301070408Nitric oxide system070409
12.0002020503010509é050903°¨é0500030700é0509040603040301070408The RTK System070409
13.0002è§06è§090102§0400010407000205060406040107030205·è0501020404070408Visual Signal Transduction070409
14.0002020305è§090102§0400010407000205060406040107030205·è0501020404070408Olfactory Signal Transduction070409
15.00020107030205·040603040301040604040308030204070408Termination of the signal070409",Chinese (Simplified) Subtitles: Chinese (Simplified),unknown,https://www.coursera.org/learn/shengwu-huaxue,Health
290,040904080400: 0502040805050405040604030406040604000400 0501040604·040704°040504000505 0400 0407050004000404040804050408040504000408,Nutrition,Health,Novosibirsk State University ,4.9,6026," 4,038 0403040504°040805020408, 040204°0402 050104020500040805010502040005020502 0404050105080502 0501 040404080407050304·04060401? 040404030400, 04040406040904080502 04±050105020502, 050504060502040005020408 040504°0503050704000502050205010505 0501040604±0400050004°05020502 04020406040505010502050005030402050204060500 040004· 0405040005000503050104°, 050704080403040604050408040204° 0400 04±0501040204°? 0408 040504°050804080404 04020503050005010408 04040501 050004°05010501040204°040904080404 040504°0404 0406 050204060404, 040204°040204000408 0000040704°04·040305010003 050304090408 05030404040805040502 05010402040304°04070501040504°05020502 050305070507040505010408 0400 040204°0402 0502050004°04050501040604080405040505010408 0502040805050405040604030406040604000400 040504030400050505040502 040504° 040504°05080503 0409040004·04050502.

040904080400 090000 050305020400 050205000400 04±0503040204050501 040704080500040904°0502 0405 05010502050004°05050408 0405040805010502 040404000500. 0403040804060406040704050505 04±04060403050205080408 80% 0500040605010501040005050405 04±04060505050205010505 04060408040504080502040005070408050104020400 0404040604070400050404000506040005000406040504°0405040505010505 04060500040604°0405040004·040404060405, 04050408 040704060407040604·05000408040504°0505 0406 050204060404, 050705020406 04000505 0501040604±05010502040504080405040505010408 04060500040604°0405040004·04040501 0405 0501040504060507 04050500040804040505 050304090408 04070406040704050408050004060403040005010502 040604080405040805020400050704080501040204060401 040404060407040005040400040204°050604000400. 040904° 0407050004060502050504090408040504000400 040404000403040304000406040504060405 040304080502 040504000500050305010501, 040704080500040505010408 0000040604080405040505010408 040004050409040804050408050005010003, 0503050104070408050804050406 040404080405050504030400 04060408040504060404 050704080403040604050408040204°, 0400 040204°0409040705010401 040004· 040504°0501 040504° 05060408040305010505 8% 04050400050005030501.

040404· 040504°0508040804060406 040205030500050104° 04050501 050304·040504°040805020408, 050705020406 04090408 050204°040204060408 040904080400 0400 04·04°050704080404 0507040804030406040504080402 0501040604·040704°0403 0502040805050405040604030406040604000400 0502050004°04050501040604080405040804·04°, 040204°0402 050004°04±0406050204°04080502 0502050004°04050501040604080405040504°0505 04020406040505010502050005030402050604000505 0400 040204°0402040004040400 0501040704060501040604±04°04040400 04080507 04040406040904050406 040704060501050204°0405040005020502 0405 040204030408050204020503. 04080501 0407040604·040504°04020406040404000404 040504°0501 0501 040504060405040804010508040004040400 05010400050105020408040404°04040400 05000408040704°04020502040005000406040504°040504000505 0406040804050406040404°, 050004°05010501040204°040904080404 0406 050204060404, 040204°0402 0502050004°04050501040604080405040505010408 04090400040504060502040505010408 0407040604040406040604°05040502 0400050105010403040804070406040504°05020408040305050404 0405 04±04060500050204±0408 0501 040504°0501040304080407050105020405040804050405050104040400 04·04°04±040604030408040504°04050400050504040400 0400 0501050204°050004080405040004080404. 04080501 0501040604±050105020405040804050405050104040400 0406040304°04·04°04040400 0503040504000407040005020408 0501040504080502050505090400050505010505 0500050104±04060402 0400 04040501050804080401 0400 0407040604±0501040504°040805020408 0405 040304°04±0406050004°05020406050004000400, 040604070408 040004· 0406040704°0501040504080401050804000505 0405040005000503050104060405 04070408040304°05040502 04±040804·0406040704°0501040505010408 040704030505 0502040604060406, 05070502040604±0501 040604050400 0501040305030409040004030400 040504° 040704060403050204·0503 050704080403040604050408050704080501050204050503.

0400040604±05000406 04070406040904°04030406040504°05020502 040504° 0402050305000501 0000040904080400: 0502040805050405040604030406040604000400 0501040604·040704°040504000505 0400 04070500040004040408040504080405040004080003. 04080501 040504°0503050704000404 040504°0501 04070408040304°05020502 040004· 0404050305050400 050104030406040504°!",Russian Subtitles: Russian,unknown,https://www.coursera.org/learn/gmo,Health
291,Actualizaci0106n en el manejo del paciente con diabetes mellitus tipo 2,Nutrition,Health,Universidad Nacional Aut0106noma de M0108xico,4.9,5933," 24,926 Este curso esta dise01±ado para ofrecer informaci0106n actualizada sobre el manejo del paciente con diabetes mellitus tipo 2, con la finalidad de mejorar su atenci0106n m0108dica. El curso est0103 dirigido a m0108dicos y profesionales sanitarios que tienen contacto con pacientes diab0108ticos; con ello, se busca disminuir la morbimortalidad de esta enfermedad y mejorar la calidad de vida de quienes la padecen. Este curso incluye temas relacionados con el manejo nutricional y la actividad f0102sica, as0102 como estrategias de manejo farmacol0106gico seg0102n el contexto cl0102nico del paciente, a partir de sus comorbilidades y preferencias.",Spanish Subtitles: Spanish,unknown,https://www.coursera.org/learn/actualizacion-manejo-diabetes-tipo-2,Health
292,è06060205030100040201060202·,Nutrition,Health,Nanjing University,4.5,5688," 2,438 000000è06060205030100040201060202·000001010301040303è0606020503020207020102040300040106è0406070402010003è0701020605020301020205030101070406010202010509030900é080004060401000302¤§è0606020503040702040604020202020207040309030004000001010003è0701040001040606020001è0305000001é050104090803090603020600000101020201050903040502¤08040604020502è0003030704020506é0705040209070407010003è0701é050104090804§0304±03020205030101è°·04090804±03000001è020404±03000001è±0604±0300000102090603000804±03000001è0001è050804±0300000103°0703000804±03000001è020904±0300000103°070102§02090104±03000001è070104±0300000101010602080902090104±03040604è06060205030103·020004070407è06060205030100040402060403050409010208000304040100000102070305040300§000001é00040205070300§040206040305020702é0004è0300040602000001é0004è0300è0402000001é0004è0300020401000001040502040307040209040604020506040603000002020605020301040300020301070402é0002020608030302è0606020503020207020102040300000001010506020002030807010206è§05010000è0801040604è0606020503020207040106è0406070402030001020204030306020000è0606é0501è07¨é0705040604010202é0009010703000002",Chinese (Simplified) Subtitles: Chinese (Simplified),unknown,https://www.coursera.org/learn/yingyang-jiankang,Health
293,Alimentaci0106n y diet0108tica para una vuelta al mundo a vela,Nutrition,Health,unknown,4.6,3918," 2,163 Comer bien en una vuelta al mundo no es tarea f0103cil . Aprenda c0106mo equilibrar alta nutrici0106n con practicidad mientras navega alrededor del mundo.

Este curso pretende introducirte en el mundo de la preparaci0106n de los deportistas que participan en regatas de navegaci0106n transoce0103nica, como la Barcelona World Race.

Ver que los proyectos son a largo plazo, que existe un periodo importante que dedican a su preparaci0106n f0102sica, la cual esta supervisada por una serie de pruebas en las que se va confirmando los logros en su rendimiento f0102sico. Y luego tambi0108n, como planifican su dieta.

En este curso aprender0103s cu0103les son los alimentos que se embarcan en la Barcelona World Race, c0106mo se dise01±an los men0102s incorporando en ellos alimentos liofilizados que contribuyen a mantener las caracter0102sticas organol0108pticas, a pesar de haber sido manipulados para conseguir un menor peso y mayor duraci0106n y estabilidad.

En el curso tambi0108n se plantea el m0108todo de c0103lculo de las necesidades nutricionales y c0106mo se planifica una dieta para rendir al m0103ximo en los periodos de preparaci0106n y de navegaci0106n en la vuelta al mundo.",Spanish Subtitles: Spanish,unknown,https://www.coursera.org/learn/alimentacion-vuelta-al-mundo,Health
